index,subsystem,toc_title,page_title,url,chars,text_file,html_file,error
71,Mobius Claims,The Suppliers Tab,The Suppliers Tab,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Suppliers_Tab.htm,3333,mobius_output\pages\0071_The_Suppliers_Tab.txt,mobius_output\html\0071_The_Suppliers_Tab.html,
72,Mobius Claims,The System Status Page,The System Status Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_System_Status_Page.htm,3781,mobius_output\pages\0072_The_System_Status_Page.txt,mobius_output\html\0072_The_System_Status_Page.html,
73,Mobius Claims,The Follow Function,The Follow Function,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_The_Follow_Function.htm,2578,mobius_output\pages\0073_The_Follow_Function.txt,mobius_output\html\0073_The_Follow_Function.html,
74,Mobius Claims,The Top Navigation Bar,The Top Navigation Bar,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Top_Navigation_Bar.htm,1247,mobius_output\pages\0074_The_Top_Navigation_Bar.txt,mobius_output\html\0074_The_Top_Navigation_Bar.html,
75,Mobius Claims,Using Active Directory Login,Using Active Directory Login,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Using_AD_login.htm,1381,mobius_output\pages\0075_Using_Active_Directory_Login.txt,mobius_output\html\0075_Using_Active_Directory_Login.html,
76,Mobius Claims,Using Mobius Claims Login,Using Mobius Claims Login,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Using_TCC_login.htm,1502,mobius_output\pages\0076_Using_Mobius_Claims_Login.txt,mobius_output\html\0076_Using_Mobius_Claims_Login.html,
77,Mobius Claims,Using the Date Picker,Using the Date Picker,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Using_the_Date_Picker.htm,1723,mobius_output\pages\0077_Using_the_Date_Picker.txt,mobius_output\html\0077_Using_the_Date_Picker.html,
78,Mobius Claims,View Diary Entry Page,View Diary Entry Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_View_Diary_Entry_Page.htm,1386,mobius_output\pages\0078_View_Diary_Entry_Page.txt,mobius_output\html\0078_View_Diary_Entry_Page.html,
79,Mobius Claims,The Workflow Page,The Workflow Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Workflow_Categories_Page.htm,23824,mobius_output\pages\0079_The_Workflow_Page.txt,mobius_output\html\0079_The_Workflow_Page.html,
80,Mobius Claims,The Recent Claims Page,The Recent Claims Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TTC_-_Recent_Claims_Column_Configuration_Page.htm,2152,mobius_output\pages\0080_The_Recent_Claims_Page.txt,mobius_output\html\0080_The_Recent_Claims_Page.html,
